org_name,org_id,org_address,std_state,geo_lat,geo_lon,Organization Type,Subtype,state
Power52 Energy Institute Baltimore City,23db2fda,"1100 E FAYETTE ST, BALTIMORE, MD, 21202",MD,39.2920479,-76.6027292,WIOA-eligible,NA,Maryland
"Institute Of Ultrasound Diagnostics, Inc.",6599d677,1 TIMBER WAY STE 203  SPANISH FORT AL 36527,AL,30.670169,-87.8527251,WIOA-eligible,NA,Alabama
Northwest Wi Constr Craft Laborers Jac,425aad73,DE FOREST WI 53532,WI,43.2477685,-89.343727,Registered apprenticeship,NA,Wisconsin
Montana Beauty Institute,9b98d023,"2680 OVERLAND AVE, BILLINGS, MT, 59102",MT,45.7495193,-108.5837636,WIOA-eligible,NA,Montana
Christine Valmy International School For Esthetics Skin Care And Makeup,a0e03b55,1501 BROADWAY 7  NEW YORK NY NEW YORK FL 10036,FL,27.6648274,-81.5157535,WIOA-eligible,NA,Florida
California Live Work Program,4adfb487,"8636 BEAUXART CIR, SACRAMENTO, CA, 95828",CA,38.4872824,-121.3818796,Non-profit organization,Job training non-profit,California
Superior Dealers Services Llc Vocational Training Program,fee8badd,"2531 NORTH AVE, MIDDLETOWN, OH, 45042",OH,39.5149461,-84.381058,WIOA-eligible,NA,Ohio
Dade Medical College-Is,bcf84b38,"9550 REGENCY SQUARE BLVD, JACKSONVILLE, FL, 32225",FL,30.3255378,-81.5500012,WIOA-eligible,NA,Florida
Alpine Environmental Services Inc,2d991658,"438 NEW KARNER RD, ALBANY, NY, 12205",NY,42.7397109,-73.8433307,WIOA-eligible,NA,New York
Jasmine Home Care Training Program Llc,ccc589e0,"720 W 5TH AVE, GARY, IN, 46402",IN,41.602247,-87.3463754,WIOA-eligible,NA,Indiana
United Training Academy - Aurora,4a0ca0ae,"12500 E ILIFF AVE, AURORA, CO, 80014",CO,39.6742247,-104.8420417,WIOA-eligible,NA,Colorado
Marcella Ellis School Of Braiding Arts,e2c38864,"1775 TYSONS BLVD, MC LEAN, VA, 22102",VA,38.923488,-77.2215046,WIOA-eligible,NA,Virginia
The Empowerment Institute Inc,fa6daabf,"8957 EDMONSTON RD, GREENBELT, MD, 20770",MD,38.9977481,-76.9003966,Non-profit organization,Job training non-profit,Maryland
Hudson Community Enterprises - Wioa Youth,86c45d48,"780 MONTGOMERY ST, JERSEY CITY, NJ, 07306",NJ,40.7260981,-74.0691625,WIOA-eligible,NA,New Jersey
Mr Leon's School Of Hair Design-Moscow,6a88569e,"618 S MAIN ST, MOSCOW, ID, 83843",ID,46.7295284,-117.0010642,Higher education institution,Highest degree certificate,Idaho
Rasmussen College-Is,ac72e037,18600 FERNVIEW STREET  LAND O'LAKES LAND O LAKES FL 34638,FL,28.1947706,-82.5081808,WIOA-eligible,NA,Florida
San Francisco Studio School Of Drawing Painting Photography,179e5fc3,PO BOX 475016 SAN FRANCISCO CA 94147-5016,CA,37.78,-122.42,Non-profit organization,Job training non-profit,California
Hair Professionals Career College,a867a3a9,"2245 GATEWAY DR, SYCAMORE, IL, 60178",IL,41.9623025,-88.7181561,Higher education institution,Highest degree certificate,Illinois
Food Jobs Work,f8182b5f,"4601 JOHN F KENNEDY BLVD, N LITTLE ROCK, AR, 72116",AR,34.7970117,-92.2568658,WIOA-eligible,NA,Arkansas
College Of Business And Technology-Hialeah,818ba1df,"935 W 49TH ST, HIALEAH, FL, 33012",FL,25.8671164,-80.3022025,Higher education institution,NA,Florida
United Education Institute-Anaheim,a0284716,"401 W CARL KARCHER WAY, ANAHEIM, CA, 92801",CA,33.8514039,-117.9229501,Higher education institution,Highest degree certificate,California
San Diego Committee On Employment Of People With Disabilities,dc364ea9,"1167 DEARBORN DR, SAN DIEGO, CA, 92154",CA,32.5751935,-117.073593,Non-profit organization,Job training non-profit,California
Dove Technology,a0797017,1770 INDIAN TRAIL RD SUITE 360 NORCROSS GA 30093,GA,33.9411081,-84.2137443,WIOA-eligible,NA,Georgia
Florida Career College-Miami,23b1f546,"1321 SW 107TH AVE, MIAMI, FL, 33174",FL,25.7565814,-80.367844,Higher education institution,NA,Florida
Roadmaster,3c1ff116,1409 PICKETVILLE ROAD  JACKSONVILLE FL 32220,FL,30.3406806,-81.7619082,WIOA-eligible,NA,Florida
Raritan Valley Community College - Non Credit,07615aee,"118 LAMINGTON RD, SOMERVILLE, NJ, 08876",NJ,40.6116987,-74.6883885,WIOA-eligible,NA,New Jersey
Pride Industries One Inc,56827db7,"10030 FOOTHILLS BLVD, ROSEVILLE, CA, 95747",CA,38.800371,-121.3157773,Non-profit organization,Job training non-profit,California
Chattanooga College Medical Dental And Technical Careers,7da73d39,"248 NORTHGATE MALL, CHATTANOOGA, TN, 37415",TN,35.132975,-85.23802,Higher education institution,NA,Tennessee
Unitech Training Academy-Lafayette,aa0d1546,"3253 AMBASSADOR CAFFERY PKWY, LAFAYETTE, LA, 70506",LA,30.1829671,-92.0743717,Higher education institution,Highest degree certificate,Louisiana
"Argos - Ai Cyber Warrior Apprenticeship Program, Gnj",eb73188f,"10383 SW 142ND ST, MIAMI, FL, 33176",FL,25.6377117,-80.3621675,Registered apprenticeship,NA,Florida
Ultimate Medical Academy,9e9b4bf9,"1255 CLEVELAND ST, CLEARWATER, FL, 33755",FL,27.9652386,-82.7855652,Higher education institution,NA,Florida
"Affordable Truck Driver Training, Llc",26cc82cd,"170 FRANKLIN SMITH RD, MOULTON, AL, 35650",AL,34.4812879,-87.2766378,WIOA-eligible,NA,Alabama
Carolina Christian College,f0d4e6e2,"4209 INDIANA AVE, WINSTON SALEM, NC, 27105",NC,36.1461896,-80.2563192,Higher education institution,Highest degree bachelor’s+,North Carolina
Nccijac,de0cf6a0,"1620 S LOOP RD, ALAMEDA, CA, 94502",CA,37.7233786,-122.2401326,Registered apprenticeship,NA,California
American Outreach Inc,52b4c494,"7042 S PERRY AVE, CHICAGO, IL, 60621",IL,41.7660462,-87.6285292,Non-profit organization,Job training non-profit,Illinois
"Premier Dental Assisting School Of Utah, Draper",3c0df30a,"112 E 12450 S STE 101 DRAPER,  DRAPER UT 84020",UT,40.5246046,-111.8876819,WIOA-eligible,NA,Utah
Lincoln College Of Technology-Denver,4af05ea7,"11194 E 45TH AVE, DENVER, CO, 80239",CO,39.7773649,-104.8564071,Higher education institution,NA,Colorado
Trinity Valley Community College,21c91109,"100 CARDINAL DR, ATHENS, TX, 75751",TX,32.1962346,-95.8581353,Multiple types,NA,Texas
International Network For Voc Educational Skills Training Inc,be5e37a0,"24131 S CHRYSLER DR, HAZEL PARK, MI, 48030",MI,42.4696769,-83.1105464,Non-profit organization,Job training non-profit,Michigan
Canadian Valley Technology Center - El Reno,34c7ce96,6505 E HWY. 66 EL RENO OK 73036,OK,35.509186,-97.8712247,WIOA-eligible,NA,Oklahoma
"David Heating And Cooling, Inc.",b831cfb1,"""19 CHURCH STREET"" MERRIMAC MA 1860",MA,42.8344462,-71.0030805,Registered apprenticeship,NA,Massachusetts
Angel Roberts Ministries Inc,0700f329,"805 TAMERTON PL, SAINT PETERS, MO, 63376",MO,38.7945334,-90.6794991,Non-profit organization,Job training non-profit,Missouri
Empire Beauty School-North Hills,29141124,"4768 MCKNIGHT RD, PITTSBURGH, PA, 15237",PA,40.5199079,-80.004319,Higher education institution,Highest degree certificate,Pennsylvania
Iupat Dc 53 Jatc-Fti,bf9bb8f9,117 LABEL LN  WESTON WV 26452,WV,39.060972,-80.463243,WIOA-eligible,Apprenticeship sponsor / other,West Virginia
University Of Arkansas-Pulaski Technical College,492b4f29,"3000 W SCENIC DR, N LITTLE ROCK, AR, 72118",AR,34.7820023,-92.2994751,Higher education institution,NA,Arkansas
Southeast Missouri (Semo) Carpenters,30db6455,"813 ENTERPRISE ST, CAPE GIRARDEAU, MO, 63703",MO,37.2860663,-89.5592331,Registered apprenticeship,NA,Missouri
Tulsa Technology Center,40e788c4,"3420 S MEMORIAL DR, TULSA, OK, 74145",OK,36.1129349,-95.8890616,Higher education institution,Highest degree certificate,Oklahoma
Virtuous Beacon Association,d0c31d94,"2666 CENTRAL TER, MEMPHIS, TN, 38111",TN,35.1243563,-89.9730551,Non-profit organization,Job training non-profit,Tennessee
Phcc Of Nc Academy,7c9430d7,PO BOX 90128 RALEIGH NC 27675,NC,35.9,-78.75,Registered apprenticeship,NA,North Carolina
Passion Project,69c3431b,PO BOX 8464 SCOTTSDALE AZ 85252-8464,AZ,33.4872628,-111.92615,Non-profit organization,Job training non-profit,Arizona
Bgt Educational Center Ltd,a53e186a,PO BOX 310540 JAMAICA NY 11431-0540,NY,40.7054885,-73.780075,Non-profit organization,Job training non-profit,New York
A Class Training,8fe0b850,"7909 PACIFIC HWY E, MILTON, WA, 98354",WA,47.2569806,-122.3368067,WIOA-eligible,NA,Washington
North Florida Technical College,0f328281,"609 N ORANGE ST, STARKE, FL, 32091",FL,29.9518763,-82.1158784,Multiple types,Highest degree certificate,Florida
Womens Enterprise Development Center Inc,f70b17e5,"901 N BROADWAY, WHITE PLAINS, NY, 10603",NY,41.0624086,-73.7669995,Non-profit organization,Job training non-profit,New York
Falcon Educational Services Inc.,806f45a4,"3045 AVE B, BETHLEHEM, PA, 18017",PA,40.6514471,-75.4241173,WIOA-eligible,NA,Pennsylvania
Genesee Valley Boces-Practical Nursing Program,1b10b620,ADULT EDUCATION OFFICE  8250 STATE ST RD BATAVIA NY 14020,NY,43.0145771,-78.1829836,Higher education institution,Highest degree certificate,New York
Rhode Island College Outreach Programs,7501a4c4,600 MT. PLEASANT AVENUE BUILDING 4 02908 PROVIDENCE RI 2908,RI,41.8444889,-71.4575401,WIOA-eligible,NA,Rhode Island
American Spirit Institute,608b7fb3,"161 JOHN JEFFERSON RD, WILLIAMSBURG, VA, 23185",VA,37.2423611,-76.6615102,WIOA-eligible,NA,Virginia
Agape College Of Business And Science,7d000971,"1313 P ST, FRESNO, CA, 93721",CA,36.741239,-119.7878428,WIOA-eligible,NA,California
Channel Of Blessings,a59749c8,"5651 CABANNE AVE, SAINT LOUIS, MO, 63112",MO,38.6588483,-90.2830802,Non-profit organization,Job training non-profit,Missouri
The Quiltss Institute,0a820e45,"1417 HANSON DR, FRANKLIN, TN, 37067",TN,35.9220124,-86.7773326,Registered apprenticeship,NA,Tennessee
Avtech Institute Of Technology - Piscataway,d76ffbd7,50 CRAGWOOD RD. 3RD FLOOR SOUTH PLAINFIELD 08820 EDISON NJ 8820,NJ,40.5533355,-74.4174793,WIOA-eligible,NA,New Jersey
Memphis Sheet Metal Workers Jac,16685085,"6735 WHITTEN PL, MEMPHIS, TN, 38133",TN,35.187871,-89.8385742,Registered apprenticeship,NA,Tennessee
Institute For Veterans Education And Training,6167660,11224 BEECHWOOD PT SMITHFIELD VA 23430-5730,VA,36.943436,-76.590639,Non-profit organization,Job training non-profit,Virginia
Cottey College,d8ba9fe9,"1000 W AUSTIN BLVD, NEVADA, MO, 64772",MO,37.8369283,-94.3717496,Higher education institution,Highest degree bachelor’s+,Missouri
Hudson County Schools Of Technology - Jersey City Center,2954442,"525 MONTGOMERY ST, JERSEY CITY, NJ, 07302",NJ,40.7216797,-74.059479,WIOA-eligible,NA,New Jersey
Grandlo Cafe Inc,53bf0584,"80 PITT ST, NEW YORK, NY, 10002",NY,40.7187911,-73.9824079,Non-profit organization,Job training non-profit,New York
Champion Christian College,abd7c6f3,"600 GARLAND AVE, HOT SPRINGS, AR, 71913",AR,34.5002098,-93.0656253,Higher education institution,Highest degree bachelor’s+,Arkansas
West/Putnam Construction Craft Laborer,fef3c40b,"140 BROADWAY AVE, HAWTHORNE, NY, 10532",NY,41.1070662,-73.8018832,Registered apprenticeship,NA,New York
Interface Technical Training,43df9908,"3115 N 3RD AVE, PHOENIX, AZ, 85013",AZ,33.4838458,-112.0773376,WIOA-eligible,NA,Arizona
Dolphin Trucking School,92cfc603,5600 RICKENBACKEDR RD.  BLD. 2A-B  BELL BELL GARDENS CA 90201,CA,33.9888943,-118.1676615,WIOA-eligible,NA,California
Maganomics Usa,7c7dcb63,"24123 SUNSET SKY, KATY, TX, 77494",TX,29.7020805,-95.7920631,Non-profit organization,Job training non-profit,Texas
"Region 5 Workforce Board, Inc.",75d24d2f,"836 S STATE ST, GREENFIELD, IN, 46140",IN,39.7742442,-85.7675578,Registered apprenticeship,NA,Indiana
"Buncombe County Partnership For Children, Inc",32c44c5c,"2229 RIVERSIDE DR, ASHEVILLE, NC, 28804",NC,35.6464297,-82.5977065,WIOA-eligible,NA,North Carolina
J D Academy Of Salon And Spa,63d0e332,"520 SAN RAMON VALLEY BLVD, DANVILLE, CA, 94526",CA,37.8183854,-121.9957396,Higher education institution,Highest degree certificate,California
Family Caregiver Assistance,8d32a13a,"118 W COMMERCIAL ST, BROKEN ARROW, OK, 74012",OK,36.0515469,-95.7916989,WIOA-eligible,NA,Oklahoma
Roane-Jackson Technical Center,98f5f755,"9450 SPENCER RD, LE ROY, WV, 25252",WV,38.822323,-81.561241,Multiple types,Highest degree certificate,West Virginia
Greenwich Ballet Academy Inc,a049fd7d,PO BOX 1561 GREENWICH CT 06836-1561,CT,41.0299598,-73.6285623,Non-profit organization,Job training non-profit,Connecticut
Repstart Llc,6146b68a,1742 YADELY DRIVE  WEST CHESTER PA 19380,PA,40.002228,-75.575481,WIOA-eligible,NA,Pennsylvania
Dalegibbons,017ed663,"2125 STATE ST, NEW ALBANY, IN, 47150",IN,38.3034242,-85.8402568,WIOA-eligible,NA,Indiana
Hypnosis Motivation Institute,3723c3cf,"18607 VENTURA BLVD, TARZANA, CA, 91356",CA,34.1702433,-118.538677,Higher education institution,Highest degree certificate,California
Speaking Boldly Inc,3ec26bb2,"1014 ADDISON LN, JOHNS CREEK, GA, 30005",GA,34.0638341,-84.2064095,Non-profit organization,Job training non-profit,Georgia
Wenatchee Valley College,267aee5d,"1300 5TH ST, WENATCHEE, WA, 98801",WA,47.4311604,-120.3344319,Multiple types,Highest degree bachelor’s+,Washington
Mid-City Truck Driving Academy Midcity Cdl,bab9cda7,"6740 W BELMONT AVE, CHICAGO, IL, 60634",IL,41.9383371,-87.7948158,WIOA-eligible,NA,Illinois
Sec-Curity Safety Center,d79b7f84,17213 HILLSIDE AVE STE 204205  JAMAICA JAMAICA NY 11432,NY,40.712139,-73.7896908,WIOA-eligible,NA,New York
Adaptive Works Inc,fa96165e,"21112 7 MILE RD, FRANKSVILLE, WI, 53126",WI,42.8294507,-88.0727937,Non-profit organization,Job training non-profit,Wisconsin
High Country Workforce Development Board,52237396,468 NEW MARKET BLVD BOONE NC 28607-3943,NC,36.2226738,-81.663862,Non-profit organization,Job training non-profit,North Carolina
Pathnorth Inc,f83d92b6,"1717 RHODE ISLAND AVE NW, WASHINGTON, DC, 20036",DC,38.906603,-77.0396252,Non-profit organization,Job training non-profit,NA
Lorain County Manufacturing Council,312ee05a,1005 ABBE RD N ELYRIA OH 44035-1613,OH,41.4128041,-82.0721412,Non-profit organization,Job training non-profit,Ohio
Goodwill Services Inc,39d9cb74,"2100 JUDSON ST, LINCOLN, NE, 68521",NE,40.8461698,-96.69047,Non-profit organization,Job training non-profit,Nebraska
Finishing Trades Institute Of New York,e57371f7,45-15 36TH STREET LONG ISLAND CITY NY 11101,NY,40.7435762,-73.928548,Registered apprenticeship,NA,New York
Upper Cumberland Local Workforce Development Board Inc,b73ae80d,"1000 ENGLAND DR, COOKEVILLE, TN, 38501",TN,36.1366559,-85.4859459,Non-profit organization,Job training non-profit,Tennessee
Zams Hope Community Resources Cente,0ce78ed4,"6401 N ARTESIAN AVE, CHICAGO, IL, 60645",IL,41.9980433,-87.6908572,Non-profit organization,Job training non-profit,Illinois
Miller Motte College,1d545a7a,"5000 MARKET ST, WILMINGTON, NC, 28405",NC,34.2423345,-77.8830847,WIOA-eligible,NA,North Carolina
First-In Training And Education,1155e16f,PO BOX 550 BOTHELL WA 98041-0550,WA,47.76,-122.2,Non-profit organization,Job training non-profit,Washington
Plumbers And Pipefitters Jatc,420d1e2f,"5315 S SHARTEL AVE, OKLAHOMA CITY, OK, 73109",OK,35.4125465,-97.527191,Registered apprenticeship,NA,Oklahoma
Johnson County Ambulance District Training Center,ce02492e,"500 E YOUNG ST, WARRENSBURG, MO, 64093",MO,38.7706961,-93.7285545,WIOA-eligible,NA,Missouri
Contra Costa Medical Career College,8989026b,"4041 LONE TREE WAY, ANTIOCH, CA, 94509",CA,37.9767998,-121.8015862,Multiple types,Highest degree certificate,California
Mid-America College Of Funeral Service,fba27a1a,"3111 HAMBURG PIKE, JEFFERSONVILLE, IN, 47130",IN,38.3121158,-85.7446376,Higher education institution,Highest degree bachelor’s+,Indiana
First Step Stna Program Llc,0f17267b,"506 BROADWAY, LORAIN, OH, 44052",OH,41.4664809,-82.1761843,WIOA-eligible,NA,Ohio
Region 1 - Center Of Workforce Innovations,84806474,"2804 BOILERMAKER CT, VALPARAISO, IN, 46383",IN,41.4622908,-87.025868,Registered apprenticeship,NA,Indiana
Globalbird Aviation,c073f122,126 N CENTER ST APT 319 SOUTH ELGIN IL 60177-1724,IL,41.9930437,-88.2925937,Non-profit organization,Job training non-profit,Illinois
Jamestown Business College,dbfd7e65,"7 FAIRMOUNT AVE, JAMESTOWN, NY, 14701",NY,42.0955456,-79.2497403,Multiple types,Highest degree bachelor’s+,New York
Summit Salon Academy-Kokomo,6874e94d,"1012 S REED RD, KOKOMO, IN, 46901",IN,40.4749923,-86.1061131,Higher education institution,Highest degree certificate,Indiana
(Phl) Bricklayers And Allied Crafts Jac (Lu1),f046fc93,"2702 BLACK LAKE PL, PHILADELPHIA, PA, 19154",PA,40.1124377,-74.9847723,Registered apprenticeship,NA,Pennsylvania
Jackson Area Manufacturers Association (Jama),95e81a5a,"2545 SPRING ARBOR RD, JACKSON, MI, 49203",MI,42.229557,-84.4479108,Registered apprenticeship,NA,Michigan
Aveda Institute-Phoenix,7a99c9d2,8475 S EMERALD DRIVE TEMPE AZ 85284,AZ,33.3388154,-111.968551,Higher education institution,Highest degree certificate,Arizona
Southern Security School,20846c2b,"2518 TULANE AVE, NEW ORLEANS, LA, 70119",LA,29.9604794,-90.0885622,WIOA-eligible,NA,Louisiana
Sanford Community Adult Education,84481739,"21 BRADEEN ST, SPRINGVALE, ME, 04083",ME,43.4657595,-70.7993774,WIOA-eligible,NA,Maine
Roofers Local 20 Kansas City,9c9caedd,"5100 E 59TH ST, KANSAS CITY, MO, 64130",MO,39.0185716,-94.5262609,Registered apprenticeship,NA,Missouri
Washington University Student Media Inc,26df6cc7,ONE BROOKINGS DRIVE CAMPUS BOX 1039 ST LOUIS MO 63130-4899,MO,38.6477839,-90.3015883,Non-profit organization,Job training non-profit,Missouri
Phlebotomy Training Specialists,0d105ecc,"625 E. STRANGER BLVD. STE E, TUKWILA, SEATTLE WA 98188",WA,47.4489305,-122.2829161,WIOA-eligible,NA,Washington
Road Safety Cdl Training School,3336071c,"2150 S CRATER RD, PETERSBURG, VA, 23805",VA,37.2010719,-77.3792311,WIOA-eligible,NA,Virginia
(Phl) Elevator Constructors Jac (Lu 5),b61e9f84,"12273 TOWNSEND RD, PHILADELPHIA, PA, 19154",PA,40.1024454,-74.9841646,Registered apprenticeship,NA,Pennsylvania
Atenas College,b56b3ff5,PASEO DEL ATENAS  #101 MANATI PR 00674-0000,PR,18.4288727,-66.4922908,Higher education institution,Highest degree bachelor’s+,NA
Ancilla College,b056b550,"9601 N UNION RD, PLYMOUTH, IN, 46563",IN,41.3367831,-86.4446264,WIOA-eligible,NA,Indiana
Connors State College,9d7ff5c9,"700 COLLEGE RD, WARNER, OK, 74469",OK,35.4918602,-95.322511,Multiple types,NA,Oklahoma
"Morris County School Of Technology, Adult Education - Wioa Title 2",e7b41426,"400 E MAIN ST, DENVILLE, NJ, 07834",NJ,40.8785847,-74.4791295,WIOA-eligible,NA,New Jersey
Adjuster Training Institute,2753c3de,"3523 PEACH TREE ST, JEFFERSONVILLE, IN, 47130",IN,38.3506971,-85.728263,WIOA-eligible,NA,Indiana
Mineral County Vocational Technical Center,bc4016ec,981 HARLEY O STAGGERS SR DR KEYSER WV 26726,WV,39.427705,-78.9876641,Higher education institution,Highest degree certificate,West Virginia
Advanced Career Placement Inc,cc7ffd00,"4240 BLUE RIDGE BLVD, KANSAS CITY, MO, 64133",MO,39.0442386,-94.4392224,Non-profit organization,Job training non-profit,Missouri
Lake Charles Plumbers And Steamfitters,530babf5,"5432 BROAD ST, LAKE CHARLES, LA, 70615",LA,30.2269424,-93.1375822,Registered apprenticeship,NA,Louisiana
Bates County Industries Inc,fdf44553,PO BOX 535 BUTLER MO 64730-0535,MO,38.2586347,-94.3305059,Non-profit organization,Job training non-profit,Missouri
The Esthetic Institute,7c0818b9,"8381 OLD COURTHOUSE RD, VIENNA, VA, 22182",VA,38.9143448,-77.2341388,Multiple types,Highest degree certificate,Virginia
Apprenti Ohio,ec2206fe,"752 N HIGH ST, WORTHINGTON, OH, 43085",OH,40.0894211,-83.0180557,Registered apprenticeship,NA,Ohio
"South Carolina School Of Welding, Llc",c80f90a6,"102 OLD JACKSON HWY, BEECH ISLAND, SC, 29842",SC,33.4282923,-81.8906251,WIOA-eligible,NA,South Carolina
Delaware County Community College,46b3e651,901 S MEDIA LINE RD MEDIA PA 19063-1094,PA,39.9674581,-75.3928612,Higher education institution,NA,Pennsylvania
San Bernardino Cuts Unilateral Apprenticeship Program,c0c38345,SAN BERNARDINO CA 92401,CA,34.0971415,-117.2940637,Registered apprenticeship,NA,California
